image_path,split,has_helmet,has_gloves,has_vest,has_boots,has_goggles,compliant
images/train/image100.jpg,train,1,0,0,0,0,0
images/train/image1000.jpeg,train,1,0,0,0,0,0
images/train/image1001.jpg,train,1,1,1,1,1,1
images/train/image1002.jpg,train,1,1,1,1,1,1
images/train/image1004.jpg,train,1,1,1,1,1,1
images/train/image1005.jpeg,train,0,0,1,0,0,0
images/train/image1006.jpg,train,1,0,1,1,0,0
images/train/image1008.jpeg,train,1,0,1,0,0,0
images/train/image101.jpeg,train,0,1,1,1,0,0
images/train/image1011.jpg,train,1,1,1,1,1,1
images/train/image1012.jpg,train,1,1,1,1,1,1
images/train/image1013.jpg,train,1,1,1,1,1,1
images/train/image1015.jpg,train,1,1,1,1,1,1
images/train/image1016.jpeg,train,1,0,1,1,0,0
images/train/image1017.jpg,train,1,1,1,1,1,1
images/train/image1018.jpg,train,1,1,1,1,1,1
images/train/image102.jpg,train,1,1,1,0,0,0
images/train/image1020.jpg,train,1,1,1,1,1,1
images/train/image1021.jpg,train,1,1,1,1,1,1
images/train/image1022.jpg,train,1,1,1,1,1,1
images/train/image1024.jpeg,train,1,1,1,0,0,0
images/train/image1025.jpg,train,1,1,1,0,0,0
images/train/image1026.jpg,train,1,1,1,1,1,1
images/train/image1027.jpg,train,1,1,1,1,1,1
images/train/image1028.jpg,train,1,1,1,1,1,1
images/train/image1029.jpg,train,1,1,1,1,1,1
images/train/image103.jpeg,train,0,0,1,0,0,0
images/train/image1030.jpg,train,1,1,1,1,1,1
images/train/image1031.jpg,train,1,1,1,1,1,1
images/train/image1032.jpg,train,1,1,1,1,1,1
images/train/image1033.jpg,train,1,1,1,1,1,1
images/train/image1034.jpg,train,1,1,1,1,1,1
images/train/image1035.jpeg,train,0,0,1,0,0,0
images/train/image1036.jpg,train,1,0,1,0,0,0
images/train/image1038.jpg,train,1,1,1,0,0,0
images/train/image1039.jpg,train,1,1,1,1,1,1
images/train/image104.jpg,train,1,1,1,1,1,1
images/train/image1040.jpg,train,1,1,1,1,1,1
images/train/image1041.jpg,train,1,1,1,1,1,1
images/train/image1042.jpg,train,1,1,1,1,1,1
images/train/image1043.jpg,train,1,1,1,1,1,1
images/train/image1044.jpg,train,1,1,1,1,1,1
images/train/image1045.jpg,train,1,1,1,1,1,1
images/train/image1047.jpg,train,1,1,1,1,1,1
images/train/image1048.jpg,train,1,1,1,1,1,1
images/train/image105.jpg,train,1,1,1,1,1,1
images/train/image1050.jpg,train,1,1,1,1,1,1
images/train/image1051.jpeg,train,1,0,1,0,0,0
images/train/image1052.jpg,train,1,1,1,1,1,1
images/train/image1053.jpg,train,1,1,1,1,1,1
images/train/image1054.jpg,train,1,1,1,1,1,1
images/train/image1056.jpg,train,1,1,1,1,1,1
images/train/image1058.jpg,train,1,1,1,1,1,1
images/train/image1059.jpg,train,1,1,1,1,1,1
images/train/image106.jpg,train,1,1,1,1,1,1
images/train/image1060.jpeg,train,1,1,1,0,0,0
images/train/image1061.jpg,train,1,1,1,1,1,1
images/train/image1062.jpg,train,1,1,1,1,1,1
images/train/image1063.jpg,train,1,1,1,1,1,1
images/train/image1064.jpg,train,1,1,1,1,1,1
images/train/image1066.jpg,train,1,1,1,1,1,1
images/train/image1067.jpg,train,1,1,1,1,1,1
images/train/image1068.jpg,train,1,1,1,1,1,1
images/train/image1069.jpeg,train,0,0,1,1,0,0
images/train/image107.jpg,train,0,0,1,0,0,0
images/train/image1070.jpg,train,1,1,1,1,1,1
images/train/image1071.jpg,train,1,1,1,1,1,1
images/train/image1073.jpg,train,1,1,1,1,1,1
images/train/image1075.jpg,train,1,1,1,1,1,1
images/train/image1077.jpg,train,1,1,1,1,1,1
